virtio_set_status vdev 0x15bf08f70 val 0
virtio_mmio_setting_irq virtio_mmio setting IRQ 0
virtio_set_status vdev 0x15bf08f70 val 0
virtio_mmio_write_offset virtio_mmio_write offset 0x0 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x4 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x8 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0xc value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x10 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x14 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x18 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x1c value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x20 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x24 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x28 value 0x0
virtio_mmio_guest_page guest page size 0x0 shift 0
virtio_mmio_write_offset virtio_mmio_write offset 0x2c value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x30 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x34 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x38 value 0x0
virtio_mmio_queue_write mmio_queue write 0x0 max 1024
virtio_mmio_write_offset virtio_mmio_write offset 0x3c value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x40 value 0x0
virtio_set_status vdev 0x15bf08f70 val 0
virtio_mmio_setting_irq virtio_mmio setting IRQ 0
virtio_mmio_write_offset virtio_mmio_write offset 0x44 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x48 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x4c value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x50 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x54 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x58 value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x5c value 0x0
virtio_mmio_write_offset virtio_mmio_write offset 0x60 value 0x0
